"name","RAM"
"Huawei Mate 10 Lite","4RAM"
"Panasonic P91","1RAM"
"Lava KKT 34 Power",
"Asus Zenfone 2 ZE551ML (4GB RAM, 128GB)","4RAM"
"Lava Z91","3RAM"
"Oppo F5 Youth","3RAM"
"Vivo Y55L","2RAM"
"Samsung Galaxy J2 Pro 2019","1RAM"
"Google Pixel 3A XL","4RAM"
"LG Q6 Plus","4RAM"
"Kechao K55 Plus",
"Nuvo Alpha NS35","2RAM"
"Motorola M 64GB","4RAM"
"Huawei Y6 2018","2RAM"
"Lenovo Z1","3RAM"
"Samsung Galaxy X","6RAM"
"Lava Prime Z",
"Itel A23","1RAM"
"Apple iPhone XIR","4RAM"
"Sony Xperia L1","2RAM"
"Vivo S1 64GB","6RAM"
"Coolpad Cool 3 64GB","4RAM"
"Lenovo Vibe K5 Note (3GB)","3RAM"
"Centric P1","2RAM"
"iKall K29",
"Vivo Y5","4RAM"
"Honor 8 Lite","4RAM"
"LeEco Le 1s","3RAM"
"iKall K16 New",
"Mobiistar E1 Selfie","3RAM"
"Micromax Bharat Go","1RAM"
"Lava 34 Super",
"InFocus Turbo 5","2RAM"
"Ulefone Power 5","6RAM"
"Xiaomi Redmi Y1 32GB","3RAM"
"Lenovo P2 3GB RAM","3RAM"
"Sony Xperia XZ2","6RAM"
"Oppo F3 Plus 6GB RAM","6RAM"
"Vivo Y11 2019","2RAM"
"Vivo Y31L","1RAM"
"Micromax X1i 2017",
"Samsung Galaxy S9 256GB","4RAM"
"Samsung Galaxy S9 Plus 256GB","6RAM"
"Panasonic Eluga Ray 500","3RAM"
"Micromax X725","2RAM"
"Gionee F103 Pro","3RAM"
"Xolo Era 1X","1RAM"
"Umidigi Z2","6RAM"
"Motorola E6","2RAM"
"Huawei Enjoy 9","3RAM"
"Sony Xperia XA3 Ultra","6RAM"
"Vivo V17 Neo","6RAM"
"Micromax Evok Dual Note 3GB RAM","3RAM"
"Micromax iOne","2RAM"
"HPL Mega A35","6RAM"
"Honor 7X 64GB","4RAM"
"Intex INFIE 3","1RAM"
"Samsung Leadership 8","4RAM"
"Panasonic Eluga Ray 600","3RAM"
"BlackBerry Evolve X","6RAM"
"Sony Xperia 10","3RAM"
"Yu Yunique 2","2RAM"
"Intex ELYT E6","3RAM"
"Motorola Z Play 32GB","3RAM"
"Nokia 9.1 PureView","8RAM"
"Micromax X751","2RAM"
"Coolpad Mega 5M","1RAM"
"HTC Desire 19 Plus","4RAM"
"Samsung Galaxy M20s","3RAM"
"Asus ZenFone 3 Max ZC520TL","3RAM"
"Intex Aqua Selfie","2RAM"
"LYF C451","1RAM"
"Lenovo Z2 Pro","6RAM"
"Lenovo K6 Note 4GB","4RAM"
"Tecno Camon i Twin","3RAM"
"Lenovo K5 Pro","4RAM"
"Sony Xperia 20","4RAM"
"Samsung Galaxy J6 Prime","3RAM"
"Oppo F1s 64GB","4RAM"
"BlackBerry DTEK50","3RAM"
"Sony Xperia XA1 Plus 32GB","4RAM"
"Lava KKT Pearl FM",
"Karbonn K99 Rock",
"HTC Desire 626 LTE","2RAM"
"Samsung Galaxy Folder 2","2RAM"
"Centric G1","3RAM"
"Xiaomi Redmi 4 32GB","3RAM"
"Lenovo K6 Power (4GB)","4RAM"
"Sony Xperia 2","6RAM"
"Gionee Long L700","8RAM"
"Panasonic P90","1RAM"
"Lenovo Phab 2","3RAM"
"Lava Z81","3RAM"
"iKall K31","2RAM"
"Asus ZenFone 2 Laser 3GB/16GB (ZE550KL)","3RAM"
"Philips Xenium E168",
"Itel it5605",
"Xiaomi Redmi Note 8","6RAM"
"Xiaomi Redmi Pro 2","4RAM"
"LG K10 16GB","2RAM"
"Lava A97 IPS","1RAM"
"iKall K2","1RAM"
"Tecno Camon iSky 3","2RAM"
"Xiaomi Mi3","2RAM"
"iVOOMi i2 Lite","2RAM"
"Huawei Y6 2019","2RAM"
"Nokia 301","4RAM"
"Samsung Galaxy A6 64GB","4RAM"
"Oppo F5 64GB","6RAM"
"Lenovo Z6","6RAM"
"Oppo Find Y","8RAM"
"Sharp Aquos Zero","6RAM"
"Comio P1","3RAM"
"Sony Xperia Z5 Dual","3RAM"
"Xolo ZX 128GB","6RAM"
"Google Pixel 3 XL 128GB","4RAM"
"Karbonn K444 Shakti",
"Kechao K33",
"Huawei P Smart Z","4RAM"
"Samsung Galaxy A9 Star","4RAM"
"Yu Yureka","2RAM"
"Titan T54","3RAM"
"Sony Xperia E1 Dual D2105","2RAM"
"Samsung Galaxy S10 512GB","8RAM"
"BlackBerry Leap","2RAM"
"Intex Aqua 4G","1RAM"
"Do S2","1RAM"
"HTC Desire 820s","2RAM"
"Samsung Galaxy J2 Ace (G532G)","5RAM"
"iKall K42",
"Vivo Y73","3RAM"
"Huawei Mate 20 X 5G","6RAM"
"Tecno Camon i","3RAM"
"Samsung Galaxy S Duos 3","2RAM"
"Intex Turbo 108",
"Intex Aqua S3","2RAM"
"Itel Magic 1 Max",
"InFocus A2","2RAM"
"Yu Yureka Plus","2RAM"
"Comio C1 Pro","5RAM"
"Apple Iphone 7S","3RAM"
"Huawei Mate 20 X","6RAM"
"HOMTOM H5","3RAM"
"Lava Z92","3RAM"
"Xiaomi Mi Max","3RAM"
"Lenovo Vibe P1","2RAM"
"Micromax Bharat 5 Plus","2RAM"
"Spice K601","2RAM"
"Honor Magic 2","6RAM"
"LG K7","5RAM"
"iKall K8 New","2RAM"
"iKall K73",
"Honor Holly 2 Plus","2RAM"
"ZTE Axon Mini","3RAM"
"iKall K19 New",
"Samsung Galaxy Note 9 512GB","8RAM"
"Lava Z62","2RAM"
"InFocus M812","3RAM"
"Gionee S6 Pro","4RAM"
"Gionee X1","2RAM"
"Vivo iQOO Plus 5G","8RAM"
"Rocktel W8",
"Oppo A9s","4RAM"
"Sony Xperia 4","4RAM"
"Mobiistar C2","2RAM"
"iKall K37","2RAM"
"Nokia 5.1 Plus 6GB RAM","6RAM"
"Itel S42","3RAM"
"Panasonic P101","2RAM"
"Datawind Pocket Surfer 3G4Z","2RAM"
"Samsung Galaxy J1","2RAM"
"Micromax Bharat 2","2RAM"
"Micromax Canvas Xpress 4G","2RAM"
"Samsung Galaxy S3 Neo i9300i","5RAM"
"Black Bear i7 Trio",
"Lenovo S5 Pro","6RAM"
"InFocus Snap 4","4RAM"
"Micromax Canvas Infinity Pro","4RAM"
"Nokia 4","3RAM"
"Karbonn K4000 Baahubali",
"Nokia A1 Plus","8RAM"
"Honor Note 10","6RAM"
"iVOOMi iPro","1RAM"
"Kechao K92",
"Zen M72 Max",
"Smartron srt.phone (4GB/64GB)","4RAM"
"Itel it2162",
"Oppo Neo 5 (2014)","1RAM"
"Lava KKT 40 Power Plus",
"Micromax Canvas Nitro A311","2RAM"
"Samsung Galaxy Core Prime","1RAM"
"Honor 10i","4RAM"
"Motorola E4","2RAM"
"Microsoft 105 Dual SIM","4RAM"
"Panasonic Eluga Ray X","3RAM"
"iKall K20",
"Oppo Neo 7","1RAM"
"Micromax Canvas 6","3RAM"
"Motorola M","3RAM"
"Motorola Moto G4 Play","2RAM"
"Ziox Quiq Wonder 4G","2RAM"
"Intex Indie 5","2RAM"
"BlackBerry KEY2 Lite","4RAM"
"Black Bear B5 Click Plus",
"Samsung Galaxy S8 Edge","6RAM"
"Micromax Canvas 6 Pro","4RAM"
"Karbonn K111 Superstar",
"Oppo A33","2RAM"
"Yu Yunique 2 Plus","3RAM"
"Sony Xperia L2","3RAM"
"Lava Z70","2RAM"
"Gionee Marathon M5 Lite","3RAM"
"Mobiistar X1 Notch 32GB","3RAM"
"Zen Grand 101",
"Oppo R9","4RAM"
"Motorola Razr 2019","4RAM"
"Oppo A5 3GB RAM","3RAM"
"Panasonic Eluga Ray 550","3RAM"
"Asus Zenfone Go 4.5 2nd Gen 8MP","1RAM"
"Samsung Galaxy Grand Prime","1RAM"
"Lava Z40","1RAM"
"iVOOMi i2","3RAM"
"HOMTOM H1","2RAM"
"iKall K5310",
"iVOOMi Z1","2RAM"
"Intex Indie 6","2RAM"
"Lenovo A7700","2RAM"
"Honor 8A","3RAM"
"Nokia 5.1","2RAM"
"Huawei Mate 20 RS Porsche Design","8RAM"
"Micromax X740",
"Tashan TS831","1RAM"
"Forme R7S","3RAM"
"iKall K66",
"Coolpad Mega 5","3RAM"
"Kechao A26",
"HTC One X9","3RAM"
"Samsung Galaxy J5 Prime 32GB","3RAM"
"Honor Bee 2","1RAM"
"Doogee S80","6RAM"
"Karbonn K5 Plus",
"Nokia 105 2019","4RAM"
"Micromax Canvas Juice 4G","2RAM"
"Samsung Galaxy A8 2018","4RAM"
"Google Pixel 2 XL 128GB","4RAM"
"Karbonn A9 Indian 4G","1RAM"
"Micromax Canvas1","2RAM"
"Peace P4",
"Nokia C5-00 5MP","6RAM"
"HTC U12 Plus","6RAM"
"Comio C2 Lite","5RAM"
"Samsung Galaxy M2","3RAM"
"Coolpad Cool Play 6","6RAM"
"Intex Eco Selfie",
"Itel it2190",
"iKall K72",
"Lava Z60s","1RAM"
"Sony Xperia X Dual","3RAM"
"LG Q Stylus","3RAM"
"HTC 11","6RAM"
"Sony Xperia M5 Dual","3RAM"
"Tecno Camon iAce","2RAM"
"Honor 4X","2RAM"
"InFocus Hero Smart P4",
"BlackBerry DTEK70","3RAM"
"Samsung Galaxy On7","5RAM"
"Huawei P20 Lite 2019","4RAM"
"LYF Water 8","3RAM"
"Karbonn K-Flip",
"Xolo Era 5X","3RAM"
"Sony Xperia XA1 Ultra","4RAM"
"iKall K4","2RAM"
"Micromax X849",
"Vivo Z3","4RAM"
"LG Candy","2RAM"
"Infinix Zero 5","6RAM"
"Google Pixel 3 128GB","4RAM"
"Chilli K188","2RAM"
"Comio S1","2RAM"
"Tecno i7","4RAM"
"Samsung Galaxy Note 10e","6RAM"
"Poco F1 Lite","4RAM"
"Samsung Galaxy A6s","6RAM"
"Karbonn KX1",
"Gionee F103 2GB RAM","2RAM"
"Sony Xperia ZG Compact","2RAM"
"Vivo Xplay 7","6RAM"
"Karbonn A40 Indian","1RAM"
"Micromax Unite 2 A106 4GB","1RAM"
"Lenovo K8 Plus 4GB RAM","4RAM"
"Lava A97","1RAM"
"Huawei P9","3RAM"
"Kechao K116","2RAM"
"Vivo Y71 32GB","4RAM"
"Motorola One Pro","4RAM"
"HTC Desire 12s","3RAM"
"Huawei P Smart 2019","3RAM"
"Karbonn K-Pebble",
"Intex Ultra Selfie",
"Tecno Camon iAir 2 Plus","2RAM"
"Tecno Camon iSky 2","2RAM"
"Panasonic P66 Mega","2RAM"
"Xiaomi Redmi Note 6A","2RAM"
"Xiaomi Mi 8 Explorer Edition","8RAM"
"Xiaomi Mi Max 2 128GB","4RAM"
"Micromax Dual 5","4RAM"
"Kechao A27",
"Xolo Era 2","1RAM"
"Itel A44 Power","1RAM"
"BlackBerry DTEK60","4RAM"
"Honor 6X (4GB/64GB)","4RAM"
"Gionee S96","8RAM"
"Nubia Red Magic 2","0RAM"
"Gionee P7","2RAM"
"Itel it2160",
"Apple iPhone 8 256GB","2RAM"
"Vivo V11i","4RAM"
"Itel Magic 1",
"Detel D1 Shine",
"Coolpad Mega 5A","2RAM"
"HTC Desire 820G Plus","1RAM"
"Lava Captain N1 Lite",
"Asus Zenfone 2 2.3GHz/4GB/64GB","4RAM"
"Karbonn Vue 1","1RAM"
"HTC Desire 626G+ Dual Sim","1RAM"
"Samsung Galaxy S10 X","8RAM"
"Huawei Mate 10 Pro","6RAM"
"Intex Turbo S5",
"Panasonic P100","1RAM"
"Coolpad Mega 3","2RAM"
"Oppo R17 Neo","4RAM"
"ZTE Axon 10 Pro","6RAM"
"Vivo X25","6RAM"
"Infinix Note 5 Stylus","4RAM"
"Lava Prime X",
"Motorola Moto C","1RAM"
"Micromax X811",
"Nubia Z18","6RAM"
"Ulefone Armor 6","6RAM"
"Itel A62","2RAM"
"Itel A44","1RAM"
"Itel SelfiePro it1520","2RAM"
"Lava Spark i7",
"Panasonic Eluga A2","3RAM"
"LG K50","3RAM"
"Honor Bee","1RAM"
"Motorola Z3 Play","4RAM"
"Intex Mega 2400",
"Coolpad Note 3 Plus","3RAM"
"Swipe Konnect 5.1 Eco","2RAM"
"LG K8 2017","2RAM"
"Microsoft 215 Dual Sim",
"LG Stylus 2","2RAM"
"HTC Desire 628","3RAM"
"Karbonn Platinum P9 Pro","3RAM"
"Karbonn K451 Power",
"Micromax X773",
"Intex Infie 33","1RAM"
"Coolpad Note 6 64GB","4RAM"
"InFocus Vision 3 Pro","4RAM"
"Vivo Z1i","4RAM"
"Yxtel A9","2RAM"
"Comio X1","2RAM"
"STK Ace Plus","2RAM"
"iKall K99",
"Lava Z51","1RAM"
"Tambo TA 2","1RAM"
"LYF Wind 7","2RAM"
"Yu Yureka Note","3RAM"
"Nubia X 5G","8RAM"
"Sony Xperia XA3","3RAM"
"Vivo Y97","4RAM"
"Karbonn Aura Sleek Plus","2RAM"
"iKall K7","1RAM"
"HTC Desire 828 Dual SIM (3GB RAM)","3RAM"
"Microsoft Lumia 535 Dual Sim","1RAM"
"iKall K301 New",
"Mobiistar X1 Dual","3RAM"
"Lava A44","1RAM"
"Lava KKT 28 Star",
"Panasonic Eluga Ray Max","4RAM"
"HTC Desire 526G Plus","1RAM"
"Samsung Galaxy J3 (2017)","2RAM"
"Oppo N1","2RAM"
"Huawei Mate 30 Lite","4RAM"
"Lenovo S5 Pro GT","4RAM"
"Asus Zenfone 5Z 256GB","8RAM"
"Xiaomi Redmi Note 5 Plus","4RAM"
"Sony Xperia XA2 Ultra","4RAM"
"Intex Cloud S9","2RAM"
"iBall iBall Aasaan4",
"Vivo NEX S","8RAM"
"Doogee S60","6RAM"
"Itel Selfiepro S41","3RAM"
"iKall K33","2RAM"
"Micromax X803","2RAM"
"Lava Iris X8 (2GB/16GB)","2RAM"
"Meizu Note 9","4RAM"
"iKall K11",
"Lava Captain K1 Plus",
"Microsoft Lumia 540 Dual SIM","1RAM"
"Intex Eco 105",
"Lava Captain N1",
"Vivo X23","8RAM"
"HTC Desire 828 Dual SIM","2RAM"
"Elari NanoPhone C",
"LYF F1","3RAM"
"Karbonn K9 Spy",
"Gfive U707",
"Micromax X380",
"Vivo Y15","2RAM"
"Micromax Bharat 2 Ultra","2RAM"
"iKall K16",
"Adcom A111",
"Micromax Canvas 2 (2017)","3RAM"
"Nokia 2.1 Plus","1RAM"
"LG Stylo 5","3RAM"
"Motorola E6 Plus","2RAM"
"Asus Zenfone Live L2","2RAM"
"Forme N5 Plus",
"Swipe Elite Sense","3RAM"
"Intex INFIE 77","2RAM"
"Lava A52","2RAM"
"Vivo NEX A","4RAM"
"Yu Yuphoria","2RAM"
"Reach Allure Admire","1RAM"
"Samsung Galaxy Grand Prime Plus","5RAM"
"Mtech Eros Smart","1RAM"
"Zen M72",
"Gionee F103 3GB RAM","3RAM"
"Nubia Red Magic 3 256GB","2RAM"
"Microsoft Lumia 950 XL Dual SIM","3RAM"
"Micromax Vdeo 3 (Q4202)","1RAM"
"LYF Flame 1","1RAM"
"Motorola Z3","4RAM"
"Gionee S10 Lite","4RAM"
"Micromax X591",
"Kechao K9",
"Itel it5600",
"Itel it5023",
"Kechao K60",
"LG Spirit LTE","1RAM"
"Xiaomi Redmi 6A Plus","2RAM"
"Huawei P20","4RAM"
"Samsung Galaxy J7 Plus","4RAM"
"Apple Iphone 7S Plus","3RAM"
"BlackBerry KEYone","4RAM"
"Nokia D1C","3RAM"
"InFocus Turbo 5 Plus","3RAM"
"Tenor G2 6GB RAM","6RAM"
"Gome C7 Note","2RAM"
"Tecno Camon i2","3RAM"
"Samsung C3322I",
"Huawei Y9 2018","3RAM"
"Nokia E52",
"Tecno i5","2RAM"
"Lenovo K8","3RAM"
"Infinix S4 64GB","4RAM"
"Lava Captain K2",
"Jivi Banana 6",
"Micromax X377",
"Oppo R15 Plus","6RAM"
"ZTE Blade A7","2RAM"
"Asus Zenfone Max Plus M2","3RAM"
"iKall K14 New",
"Intex Ultra Magic",
"Vivo Y53i","2RAM"
"Sony Xperia P2","3RAM"
"Microsoft Lumia 640 XL Dual SIM","1RAM"
"Lava Z81 16GB","2RAM"
"iKall K35","2RAM"
"iKall K88",
"Mafe Z1","1RAM"
"Motorola Z 64GB","4RAM"
"Karbonn KX23",
"iKall K10","2RAM"
"Gfive Hero",
"Intex Aqua Lions X1+","3RAM"
"Asus Zenfone Selfie","2RAM"
"Motorola Z4 Force","8RAM"
"Honor Holly 3","2RAM"
"iKall K5","2RAM"
"Asus Zenfone 5 2018","4RAM"
"Nokia 105 2019 Dual SIM","4RAM"
"Samsung Galaxy Xcover 5","3RAM"
"Nokia 108 Dual Sim",
"InFocus A1s","1RAM"
"Intex Aqua 5.5 VR+","2RAM"
"Lava Kkt 28i",
"Nokia 112","6RAM"
"Micromax Canvas Mega 4G","3RAM"
"Nokia P1","6RAM"
"LG G4","3RAM"
"Nokia C9","3RAM"
"Karbonn KX2",
"HTC Desire 826","2RAM"
"Yuho Y2 Pro","2RAM"
"Doogee S90","6RAM"
"Nokia 216","6RAM"
"Yuho O1","2RAM"
"Gionee Pioneer P5L","1RAM"
"Xolo Era 2V","2RAM"
"Forme N1",
"Comio X1 Note","3RAM"
"Xiaomi Mi Note 4","4RAM"
"Asus ZenFone 3S Max (ZC521TL)","3RAM"
"HTC Desire 825","2RAM"
"Huawei Enjoy 8 Plus","4RAM"
"BlackBerry Bold 4 9900","8RAM"
"Motorola Z4 Play","4RAM"
"Samsung Galaxy A9 Star Lite","4RAM"
"Micromax Vdeo 1","1RAM"
"Micromax Canvas Juice 2 AQ5001","2RAM"
"Vivo X5Pro","2RAM"
"Xiaomi Redmi 5 Plus","3RAM"
"Nubia V18","4RAM"
"Xiaomi Mi Max 2 32GB","4RAM"
"Panasonic P75","1RAM"
"TYMES Y5000","2RAM"
"Lava A7 Wave",
"Itel A40","1RAM"
"Tecno i3","2RAM"
"Itel it2171",
"Nokia 515 Dual SIM","4RAM"
"Gfive W1",
"iKall K6610",
"LYF Water 7","2RAM"
"Swipe Neo Power","2RAM"
"Panasonic P88","2RAM"
"HTC Wildfire E","2RAM"
"VOTO V12","2RAM"
"Intex Turbo i14",
"MU Phone M370",
"iKall K6300",
"Micromax X406","6RAM"
"Micromax X605",
"HTC U19e","6RAM"
"Samsung Galaxy S10e 256GB","6RAM"
"Honor 8S","2RAM"
"HTC Desire 728 Dual SIM","2RAM"
"Celkon UFeel 4G","1RAM"
"iKall K3311",
"Intex Aqua Strong 5.1 Plus","1RAM"
"Kechao K55",
"Karbonn K9 Staar",
"Karbonn A6","2RAM"
"Vivo X30","4RAM"
"Xiaomi Redmi 3A","2RAM"
"Smartisan Nut R1","6RAM"
"Panasonic Eluga Ray","3RAM"
"mPhone 7S","3RAM"
"Spice Z202",
"Panasonic Eluga A4","3RAM"
"Micromax X742",
"Karbonn Platinum P9 2018","2RAM"
"Spice F302","1RAM"
"Itel Wish A41","1RAM"
"Nokia 106","4RAM"
"BlackBerry Bold 9790","8RAM"
"Innelo 1","2RAM"
"LYF C459","1RAM"
"Micromax Selfie 2 Q4311","3RAM"
"InFocus M260","1RAM"
"Alcatel PIXI 4 (5)","1RAM"
"Reach Allure Rise 3GB RAM","3RAM"
"Meizu 16Xs","6RAM"
"Xiaomi Mi Mix 3s","6RAM"
"Samsung Galaxy J3 2018","2RAM"
"Sony Xperia XA3 Plus","4RAM"
"Samsung Galaxy J4 Core","1RAM"
"Xolo Era 3X","3RAM"
"Gfive U220 Plus",
"Itel it5022",
"Karbonn KPhone 1","2RAM"
"Apple iPhone 9","4RAM"
"Samsung Galaxy S6 Plus","2RAM"
"Motorola G4 32GB","3RAM"
"iVOOMi Me3S","3RAM"
"Gfive G9",
"BlackBerry Z3","5RAM"
"Realme X Spider Man Edition","8RAM"
"Forme R7","3RAM"
"Itel it5617",
"Yu Yu5530","4RAM"
"HTC Desire 826X","2RAM"
"Itel PowerPro P41","1RAM"
"InFocus Selfie C1",
"Micromax X713",
"Datawind PocketSurfer 3G4 Plus","6RAM"
"InFocus Hero Play M1","2RAM"
"Intex Elyt Dual","2RAM"
"Coolpad 6A","3RAM"
"Karbonn K19 Rock",
"Aqua Jazz","1RAM"
"Rocktel W7",
"Datawind PocketSurfer 3G4","6RAM"
"Lava Z90","3RAM"
"Nokia Phoenix","4RAM"
"Fox Sultan",
"Intex Aqua 4G Mini","2RAM"
"HiTech Yuva Y1",
"Xiaomi Mi 6 Plus","6RAM"
"LYF Wind 4S","2RAM"
"Lenovo K9 Plus","3RAM"
"Lenovo K5X","6RAM"
"Huawei Y7 Prime","3RAM"
"Samsung Galaxy J2 Pro 2018","5RAM"
"Xiaomi Mi Note 3","6RAM"
"Coolpad Note 6","4RAM"
"Detel D1 Pulse",
"Nokia 5310 XpressMusic","2RAM"
"VOTO V5X","2RAM"
"Yuho Vast 2","3RAM"
"Ulefone Power 5S","4RAM"
"Swipe Elite 2 Plus (2017)","1RAM"
"Karbonn Aura Power 4G","1RAM"
"Nuvo One",
"Coolpad Note 3 Lite","3RAM"
"Aqua Pearl Max",
"Honor Holly 4 Plus","3RAM"
"Karbonn Titanium Jumbo 2","2RAM"
"iKall K36 New","2RAM"
"Rocktel R5",
"Karbonn K Stylo",
"Infinix Zero 6","4RAM"
"Kechao A28",
"HTC Wildfire E1","3RAM"
"Adcom J3",
"Huawei Nova 4e","4RAM"
"Vivo Z3i","6RAM"
"Motorola P30","6RAM"
"Huawei Mate 20 Lite","4RAM"
"LG V35 ThinQ","6RAM"
"LG Q7 Alpha","3RAM"
"Easyfone Royale",
"Honor 8 Smart","2RAM"
"Huawei Honor 6","3RAM"
"Nokia 7","6RAM"
"Oppo Mix","6RAM"
"Sharp Aquos R2","4RAM"
"Sony Xperia XZ2 Premium","6RAM"
"Microsoft Lumia 1030","2RAM"
"Lava A97 2GB Plus","2RAM"
"Micromax Bharat 3","1RAM"
"Comio C1","1RAM"
"Lava Arc One",
"Lenovo Vibe P1 Turbo","3RAM"
"Micromax Canvas Engage A091","2RAM"
"Kenxinda W50","1RAM"
"Lephone W9","1RAM"
"Doogee S50","6RAM"
"Mafe Lite",
"Itel Wish A21","1RAM"
"Nokia E5",
"iBall Crown 2",
"Asus ZenFone 2 Laser 2GB/16GB","2RAM"
"Lava Z80","3RAM"
"Lenovo A6600","1RAM"
"Yu Yunique","1RAM"
"iVOOMi Me 2","2RAM"
"Jivi JV 12M",
"HTC Wildfire 2019","3RAM"
"Kechao K6",
"Huawei Mate 30","6RAM"
"Karbonn Aura Power 4G Plus","1RAM"
"Lava KKT 40 Power",
"InFocus Turbo 5S","3RAM"
"Vivo Y89","4RAM"
"Lenovo Z5 Pro GT","2RAM"
"Lenovo K5 Play","2RAM"
"Huawei P Smart Plus 2019","3RAM"
"Huawei Mate 20","4RAM"
"Lenovo S5 64GB","4RAM"
"Meizu 16X","6RAM"
"ZTE Axon 9 Pro","6RAM"
"LG K7i","2RAM"
"Micromax Bolt Q381","1RAM"
"Micromax X072",
"BlackBerry Torch 9860","8RAM"
"Lenovo Sisley S90","2RAM"
"Micromax Canvas Doodle 4","1RAM"
"HTC U12","6RAM"
"Honor 9","6RAM"
"Spice Z301",
"Celkon C2233",
"BlackBerry 9720","2RAM"
"iKall K34 New",
"Cat S61","4RAM"
"Lephone W2","1RAM"
"Nokia E71",
"InFocus Vibe 1",
"Smartron t.phone","4RAM"
"Black Bear i7",
"Gfive Champ",
"Lava Iris Atom X","6RAM"
"Asus ZenFone 4 Selfie ZB553KL","3RAM"
"Gfive Fire",
"Adcom A1 Selfie",
"Microsoft Lumia 550","1RAM"
"InFocus A3","2RAM"
"Micromax X512","2RAM"
"Micromax X424",
"InFocus EPIC 1","3RAM"
"HTC Wildfire E Plus","2RAM"
"Asus Zenfone Max Shot","3RAM"
"HTC Exodus","6RAM"
"Lenovo K5 Note 2018","3RAM"
"Nokia 1600",
"Intex Turbo G10 Plus",
"Intex Eco i10",
"Forme N5 Selfie",
"Micromax Vdeo 4 (Q4251)","1RAM"
"Zen Z8 DJ",
"Intex Eco Beats",
"Lava Iris X10","3RAM"
"Zen Admire Infinity","1RAM"
"LeEco Le 2 Pro","4RAM"
"Doogee Y8","3RAM"
"E and L Y50","1RAM"
"Micromax Canvas 2 2018","2RAM"
"BlackBerry Bold 9780","2RAM"
"BlackBerry Curve 8520","8RAM"
"BlackBerry Curve 3G 9300",
"Meizu C9 Pro","3RAM"
"Itel A42 plus","2RAM"
"Nokia E72","8RAM"
"BlackBerry Pearl Flip 8220",
"Lava Iris Atom","2RAM"
"Kechao K36",
"Micromax Bolt A24","6RAM"
"Panasonic P100 2GB RAM","2RAM"
"Easyfone Elite",
"Karbonn K324n",
"Karbonn K140 Pop",
"Motorola Moto G (3rd Gen) 8GB","1RAM"
"Asus ZenFone 3 Max (ZC553KL)","3RAM"
"iBall Andi Avonte 5","1RAM"
"Karbonn K46 LED",
"iVOOMi ME1 Plus","2RAM"
"Fox BigDaddy",
"Lava Z91 16GB","2RAM"
"Itel it5613",
"Sony Xperia XZ2 Compact","4RAM"
"Intex Aqua Style III","1RAM"
"Itel Wish A41 Plus","2RAM"
"Jivi JFP N2244",
"Datawind Pocket Surfer 2G4","6RAM"
"Nubia Red Magic Mars","6RAM"
"Samsung Galaxy XCover 4s","3RAM"
"Lava ZX","4RAM"
"Huawei Y5 Lite","1RAM"
"Samsung Galaxy J4 Prime","3RAM"
"Oppo R20","4RAM"
"LG X5 2018","2RAM"
"Lenovo K11","4RAM"
"Motorola One Macro","6RAM"
"Gfive Plus",
"Asus Zenfone 4 Selfie Pro (ZD552KL)","4RAM"
"Intex Aqua 4.0 4G","2RAM"
"Celkon UFeel 4G 16GB","2RAM"
"Micromax Canvas Fire 4G Plus","1RAM"
"Panasonic Eluga Mark","2RAM"
"Panasonic Eluga Ray Max (4GB/64GB)","4RAM"
"Itel A22 Pro","2RAM"
"Xiaomi Redmi Note 6S","2RAM"
"Asus Zenfone Max Plus M1","2RAM"
"Xiaomi Mi Mix 2","6RAM"
"Xiaomi Redmi 4 Prime","3RAM"
"Tambo A2200",
"iKall K36","2RAM"
"Blackview BV9500 Pro","6RAM"
"Gome C7","2RAM"
"Itel A44 Air","1RAM"
"Coolpad Cool Play 8","4RAM"
"Oppo Joy 3","1RAM"
"Micromax X287I",
"Ulefone Power 3S","4RAM"
"ChampOne C1","2RAM"
"Intex Aqua Lions T1 Lite","1RAM"
"Intex Turbo S7",
"Nokia C5","8RAM"
"LYF WATER 3","2RAM"
"Gfive Rock",
"Micromax Canvas 5 Lite","2RAM"
"Asus ZenFone Go (ZC500TG) 16GB","2RAM"
"Micromax Canvas Knight 2 E471","2RAM"
"Gfive Audi",
"iKall K38","2RAM"
"Karbonn Quattro L50 HD","2RAM"
"Lava KKT Pearl",
"InFocus F110","2RAM"
"Karbonn Titanium MachFive","2RAM"
"Micromax Bharat 4 Diwali Edition","1RAM"
"Kechao K28",
"Karbonn K9 Kavach 4G (2GB/16GB)","2RAM"
"Google Pixel XL 128GB","4RAM"
"Micromax Bolt Supreme 4 Q352","1RAM"
"Micromax X071",
"Motorola P40 Power","6RAM"
"Micromax Vdeo 2","1RAM"
"Huawei Y7 2019","3RAM"
"LG K10 2018","2RAM"
"Panasonic Eluga I9","3RAM"
"Lava Iris Atom 2","2RAM"
"Huawei P10 Lite","4RAM"
"Asus X00GD","2RAM"
"Xiaomi Mi 8 256GB","6RAM"
"Microsoft Surface Phone","4RAM"
"Xiaomi Mi 8 128GB","6RAM"
"Swipe Elite 4G (2017)","1RAM"
"Lava Arc 105",
"Huawei Mate 20 Pro 256GB","8RAM"
"Itel A45","1RAM"
"Yuho O2 Pro","3RAM"
"Samsung Galaxy Star Advance G350E","2RAM"
