"Name","Operating System","Display","Camera","Battery","Special Features""Mobile Phones",,,,,,,,
"Realme X","Android v9.0 (Pie)","6.53 inches (16.59 cm) bezel-less display Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 16 MP Front Camera","3765 mAh battery with VOOC Charging v3.0, charges upto 55% in 30 minutes","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi 7A","Android v9.0 (Pie)","5.45 inches (13.84 cm) bezel-less display","12 MP Rear Camera 5 MP Front Camera","4000 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi Note 7 Pro 128GB","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 13 MP Front Camera","4000 mAh battery with Quick Charging v4.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Apple iPhone 6s 32GB Price","iOS v9 Upgradable to v11.2","4.7 inches (11.94 cm) display Oleophobic coating Protection","12 MP Rear Camera 5 MP Front Camera","1715 mAh battery","Front Fingerprint Sensor 3.5 mm headphone jack present",,,
"Xiaomi Redmi 6A 32GB","Android v8.1 (Oreo)","5.45 inches (13.84 cm) bezel-less display","13 MP Rear Camera 5 MP Front Camera","3000 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Vivo S1","Android v9.0 (Pie)","6.38 inches (16.21 cm) bezel-less display with waterdrop notch","16 + 8 + 2 MP Triple Rear Cameras 32 MP Front Camera","4500 mAh battery with Fast Charging","On-screen Fingerprint Sensor 3.5 mm headphone jack present",,,
"Xiaomi Redmi K20 Pro","Android v9.0 (Pie)","6.39 inches (16.23 cm) bezel-less display Gorilla Glass 5 Protection","48 + 13 + 8 MP Triple Rear Cameras 20 MP Front Camera","4000 mAh battery with Quick Charging v4.0, charges upto 58% in 30 minutes","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Reliance Jio Phone 3","Android v8.1 (Oreo)","5 inches (12.7 cm) display","5 MP Rear Camera 2 MP Front Camera","2800 mAh battery","3.5 mm headphone jack present",,,
"OnePlus 7","Android v9.0 (Pie)","6.41 inches (16.28 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 16 MP Front Camera","3700 mAh battery with Dash Charging","On-screen Fingerprint Sensor Face Unlock No 3.5 mm headphone jack present",,,
"Samsung Galaxy A70","Android v9.0 (Pie)","6.7 inches (17.02 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","32 + 8 + 5 MP Triple Rear Cameras 32 MP Front Camera","4500 mAh battery with Fast Charging","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Apple iPhone 7 256GB Price","iOS v10 Upgradable to v11.2","4.7 inches (11.94 cm) display Oleophobic coating Protection","12 MP Rear Camera 7 MP Front Camera","1960 mAh battery","Front Fingerprint Sensor No 3.5 mm headphone jack present",,,
"Xiaomi Redmi 7","Android v9.0 (Pie)","6.26 inches (15.9 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","12 + 2 MP Dual Rear Cameras 8 MP Front Camera","4000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Apple iPhone 7 128GB Price","iOS v10 Upgradable to v11.2","4.7 inches (11.94 cm) display Oleophobic coating Protection","12 MP Rear Camera 7 MP Front Camera","1960 mAh battery","Front Fingerprint Sensor No 3.5 mm headphone jack present",,,
